problem,age,gender,location,time,pain,vomit,diahrrea,fever,risks,dissy,er,urgent,primary,nothing,recommendation
problemID,ageID,genderID,locationID,timeID,painID,vomitID,diarrheaID,feverID,risksID,dissyID,erID,urgentID,primaryID,nothingID,recommendationID
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,fever,risks,dissy,8,8,8,9,urgent
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,fever,risks,NoDissy,7,7,7,8,urgent
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,fever,Norisks,dissy,3,3,8,9,primary
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,fever,Norisks,NoDissy,2,3,5,7,primary
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,Nofever,risks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,Nofever,risks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,Nofever,Norisks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,diarrhea,Nofever,Norisks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,fever,risks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,fever,risks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,fever,Norisks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,fever,Norisks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,Nofever,risks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,Nofever,risks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,Nofever,Norisks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,vom,Nodiar,Nofever,Norisks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,fever,risks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,fever,risks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,fever,Norisks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,fever,Norisks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,Nofever,risks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,Nofever,risks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,Nofever,Norisks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,diarrhea,Nofever,Norisks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,Nodiar,fever,risks,dissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,Nodiar,fever,risks,NoDissy,,,,,
head,18-45,male,frontal,1-3,1_3,Novom,Nodiar,fever,Norisks,dissy,,,,,
